Number,Card Name,Suit,Color,Value,Image File
1,The Fool,major arcana,wild,0,c01.jpg
2,The Magician,major arcana,wild,1,c02.jpg
3,The High Priestess,major arcana,wild,2,c03.jpg
4,The Empress,major arcana,wild,3,c04.jpg
5,The Emperor,major arcana,wild,4,c05.jpg
6,The Hierophant,major arcana,wild,5,c06.jpg
7,The Lovers,major arcana,wild,6,c07.jpg
8,The Chariot,major arcana,wild,7,c08.jpg
9,Strength,major arcana,wild,8,c09.jpg
10,The Hermit,major arcana,wild,9,c10.jpg
11,Wheel of Fortune,major arcana,wild,10,c11.jpg
12,Justice,major arcana,wild,11,c12.jpg
13,The Hanged Man,major arcana,wild,12,c13.jpg
14,Death,major arcana,wild,13,c14.jpg
15,Temperance,major arcana,wild,14,c15.jpg
16,The Devil,major arcana,wild,15,c16.jpg
17,The Tower,major arcana,wild,16,c17.jpg
18,The Star,major arcana,wild,17,c18.jpg
19,The Moon,major arcana,wild,18,c19.jpg
20,The Sun,major arcana,wild,19,c20.jpg
21,Judgment,major arcana,wild,20,c21.jpg
22,The World,major arcana,wild,21,c22.jpg
23,Ace of Wands,wands,black,1,c23.jpg
24,Two of Wands,wands,black,2,c24.jpg
25,Three of Wands,wands,black,3,c25.jpg
26,Four of Wands,wands,black,4,c26.jpg
27,Five of Wands,wands,black,5,c27.jpg
28,Six of Wands,wands,black,6,c28.jpg
29,Seven of Wands,wands,black,7,c29.jpg
30,Eight of Wands,wands,black,8,c30.jpg
31,Nine of Wands,wands,black,9,c31.jpg
32,Ten of Wands,wands,black,10,c32.jpg
33,Page of Wands,wands,black,11,c33.jpg
34,Knight of Wands,wands,black,12,c34.jpg
35,Queen of Wands,wands,black,13,c35.jpg
36,King of Wands,wands,black,14,c36.jpg
37,Ace of Pentacles,pentacles,red,1,c37.jpg
38,Two of Pentacles,pentacles,red,2,c38.jpg
39,Three of Pentacles,pentacles,red,3,c39.jpg
40,Four of Pentacles,pentacles,red,4,c40.jpg
41,Five of Pentacles,pentacles,red,5,c41.jpg
42,Six of Pentacles,pentacles,red,6,c42.jpg
43,Seven of Pentacles,pentacles,red,7,c43.jpg
44,Eight of Pentacles,pentacles,red,8,c44.jpg
45,Nine of Pentacles,pentacles,red,9,c45.jpg
46,Ten of Pentacles,pentacles,red,10,c46.jpg
47,Page of Pentacles,pentacles,red,11,c47.jpg
48,Knight of Pentacles,pentacles,red,12,c48.jpg
49,Queen of Pentacles,pentacles,red,13,c49.jpg
50,King of Pentacles,pentacles,red,14,c50.jpg
51,Ace of Swords,swords,black,1,c51.jpg
52,Two of Swords,swords,black,2,c52.jpg
53,Three of Swords,swords,black,3,c53.jpg
54,Four of Swords,swords,black,4,c54.jpg
55,Five of Swords,swords,black,5,c55.jpg
56,Six of Swords,swords,black,6,c56.jpg
57,Seven of Swords,swords,black,7,c57.jpg
58,Eight of Swords,swords,black,8,c58.jpg
59,Nine of Swords,swords,black,9,c59.jpg
60,Ten of Swords,swords,black,10,c60.jpg
61,Page of Swords,swords,black,11,c61.jpg
62,Knight of Swords,swords,black,12,c62.jpg
63,Queen of Swords,swords,black,13,c63.jpg
64,King of Swords,swords,black,14,c64.jpg
65,Ace of Cups,cups,red,1,c65.jpg
66,Two of Cups,cups,red,2,c66.jpg
67,Three of Cups,cups,red,3,c67.jpg
68,Four of Cups,cups,red,4,c68.jpg
69,Five of Cups,cups,red,5,c69.jpg
70,Six of Cups,cups,red,6,c70.jpg
71,Seven of Cups,cups,red,7,c71.jpg
72,Eight of Cups,cups,red,8,c72.jpg
73,Nine of Cups,cups,red,9,c73.jpg
74,Ten of Cups,cups,red,10,c74.jpg
75,Page of Cups,cups,red,11,c75.jpg
76,Knight of Cups,cups,red,12,c76.jpg
77,Queen of Cups,cups,red,13,c77.jpg
78,King of Cups,cups,red,14,c78.jpg
